name,wager,wager_count,player_hands
Allice,6,5,"{'Hal': [5, 3, 5, 6], 'Allice': [3, 5, 6], 'WOPR': [2, 6, 3, 2], 'Andy': [2, 4, 1]}"
WOPR,2,6,"{'Allice': [3, 5, 6], 'WOPR': [2, 6, 3, 2], 'Andy': [2, 4, 1], 'Hal': [5, 3, 5, 6]}"
Andy,LIAR,LIAR,"{'Hal': [5, 3, 5, 6], 'Allice': [3, 5, 6], 'WOPR': [6, 3, 2], 'Andy': [2, 4, 1]}"
Allice,4,1,"{'Hal': [2, 5, 6, 3], 'Allice': [4, 4, 6], 'WOPR': [6, 3, 4], 'Andy': [3, 6, 2]}"
WOPR,6,1,"{'Allice': [4, 4, 6], 'WOPR': [6, 3, 4], 'Andy': [3, 6, 2], 'Hal': [2, 5, 6, 3]}"
Andy,2,2,"{'WOPR': [6, 3, 4], 'Andy': [3, 6, 2], 'Hal': [2, 5, 6, 3], 'Allice': [4, 4, 6]}"
Hal,6,2,"{'Andy': [3, 6, 2], 'Hal': [2, 5, 6, 3], 'Allice': [4, 4, 6], 'WOPR': [6, 3, 4]}"
Allice,4,3,"{'Hal': [2, 5, 6, 3], 'Allice': [4, 4, 6], 'WOPR': [6, 3, 4], 'Andy': [3, 6, 2]}"
WOPR,6,3,"{'Allice': [4, 4, 6], 'WOPR': [6, 3, 4], 'Andy': [3, 6, 2], 'Hal': [2, 5, 6, 3]}"
Andy,6,4,"{'WOPR': [6, 3, 4], 'Andy': [3, 6, 2], 'Hal': [2, 5, 6, 3], 'Allice': [4, 4, 6]}"
Hal,6,5,"{'Andy': [3, 6, 2], 'Hal': [2, 5, 6, 3], 'Allice': [4, 4, 6], 'WOPR': [6, 3, 4]}"
Allice,4,6,"{'Hal': [2, 5, 6, 3], 'Allice': [4, 4, 6], 'WOPR': [6, 3, 4], 'Andy': [3, 6, 2]}"
WOPR,LIAR,LIAR,"{'Andy': [3, 6, 2], 'Hal': [2, 5, 6, 3], 'Allice': [4, 6], 'WOPR': [6, 3, 4]}"
Hal,4,1,"{'Andy': [3, 4, 3], 'Hal': [1, 4, 6, 4], 'Allice': [4, 6], 'WOPR': [1, 5, 5]}"
Allice,6,1,"{'Hal': [1, 4, 6, 4], 'Allice': [4, 6], 'WOPR': [1, 5, 5], 'Andy': [3, 4, 3]}"
WOPR,5,2,"{'Allice': [4, 6], 'WOPR': [1, 5, 5], 'Andy': [3, 4, 3], 'Hal': [1, 4, 6, 4]}"
Andy,3,3,"{'WOPR': [1, 5, 5], 'Andy': [3, 4, 3], 'Hal': [1, 4, 6, 4], 'Allice': [4, 6]}"
Hal,4,3,"{'Andy': [3, 4, 3], 'Hal': [1, 4, 6, 4], 'Allice': [4, 6], 'WOPR': [1, 5, 5]}"
Allice,6,3,"{'Hal': [1, 4, 6, 4], 'Allice': [4, 6], 'WOPR': [1, 5, 5], 'Andy': [3, 4, 3]}"
WOPR,5,4,"{'Allice': [4, 6], 'WOPR': [1, 5, 5], 'Andy': [3, 4, 3], 'Hal': [1, 4, 6, 4]}"
Andy,3,5,"{'WOPR': [1, 5, 5], 'Andy': [3, 4, 3], 'Hal': [1, 4, 6, 4], 'Allice': [4, 6]}"
Hal,4,5,"{'Andy': [3, 4, 3], 'Hal': [1, 4, 6, 4], 'Allice': [4, 6], 'WOPR': [1, 5, 5]}"
Allice,6,5,"{'Hal': [1, 4, 6, 4], 'Allice': [4, 6], 'WOPR': [1, 5, 5], 'Andy': [3, 4, 3]}"
WOPR,5,6,"{'Allice': [4, 6], 'WOPR': [1, 5, 5], 'Andy': [3, 4, 3], 'Hal': [1, 4, 6, 4]}"
