name,wager,wager_count,player_hands
Allice,1,2,"{'Hal': [1, 1, 5, 3], 'Allice': [1, 1, 3, 5], 'WOPR': [2, 4, 4, 1], 'Andy': [5, 4, 6, 3]}"
WOPR,4,2,"{'Allice': [1, 1, 3, 5], 'WOPR': [2, 4, 4, 1], 'Andy': [5, 4, 6, 3], 'Hal': [1, 1, 5, 3]}"
Andy,6,2,"{'WOPR': [2, 4, 4, 1], 'Andy': [5, 4, 6, 3], 'Hal': [1, 1, 5, 3], 'Allice': [1, 1, 3, 5]}"
Hal,1,3,"{'Andy': [5, 4, 6, 3], 'Hal': [1, 1, 5, 3], 'Allice': [1, 1, 3, 5], 'WOPR': [2, 4, 4, 1]}"
Allice,1,4,"{'Hal': [1, 1, 5, 3], 'Allice': [1, 1, 3, 5], 'WOPR': [2, 4, 4, 1], 'Andy': [5, 4, 6, 3]}"
WOPR,4,4,"{'Allice': [1, 1, 3, 5], 'WOPR': [2, 4, 4, 1], 'Andy': [5, 4, 6, 3], 'Hal': [1, 1, 5, 3]}"
Andy,6,4,"{'WOPR': [2, 4, 4, 1], 'Andy': [5, 4, 6, 3], 'Hal': [1, 1, 5, 3], 'Allice': [1, 1, 3, 5]}"
Hal,1,5,"{'Andy': [5, 4, 6, 3], 'Hal': [1, 1, 5, 3], 'Allice': [1, 1, 3, 5], 'WOPR': [2, 4, 4, 1]}"
Allice,1,6,"{'Hal': [1, 1, 5, 3], 'Allice': [1, 1, 3, 5], 'WOPR': [2, 4, 4, 1], 'Andy': [5, 4, 6, 3]}"
WOPR,4,6,"{'Allice': [1, 1, 3, 5], 'WOPR': [2, 4, 4, 1], 'Andy': [5, 4, 6, 3], 'Hal': [1, 1, 5, 3]}"
Andy,6,6,"{'WOPR': [2, 4, 4, 1], 'Andy': [5, 4, 6, 3], 'Hal': [1, 1, 5, 3], 'Allice': [1, 1, 3, 5]}"
Hal,1,7,"{'Andy': [5, 4, 6, 3], 'Hal': [1, 1, 5, 3], 'Allice': [1, 1, 3, 5], 'WOPR': [2, 4, 4, 1]}"
Allice,1,8,"{'WOPR': [2, 4, 4, 1], 'Andy': [5, 4, 6, 3], 'Hal': [1, 5, 3], 'Allice': [1, 1, 3, 5]}"
Andy,2,1,"{'WOPR': [4, 1, 5, 5], 'Andy': [2, 6, 3, 2], 'Hal': [3, 3, 6], 'Allice': [3, 3, 5, 2]}"
Hal,3,1,"{'Andy': [2, 6, 3, 2], 'Hal': [3, 3, 6], 'Allice': [3, 3, 5, 2], 'WOPR': [4, 1, 5, 5]}"
Allice,3,2,"{'Hal': [3, 3, 6], 'Allice': [3, 3, 5, 2], 'WOPR': [4, 1, 5, 5], 'Andy': [2, 6, 3, 2]}"
WOPR,5,2,"{'Allice': [3, 3, 5, 2], 'WOPR': [4, 1, 5, 5], 'Andy': [2, 6, 3, 2], 'Hal': [3, 3, 6]}"
Andy,2,3,"{'WOPR': [4, 1, 5, 5], 'Andy': [2, 6, 3, 2], 'Hal': [3, 3, 6], 'Allice': [3, 3, 5, 2]}"
Hal,3,3,"{'Andy': [2, 6, 3, 2], 'Hal': [3, 3, 6], 'Allice': [3, 3, 5, 2], 'WOPR': [4, 1, 5, 5]}"
Allice,3,4,"{'Hal': [3, 3, 6], 'Allice': [3, 3, 5, 2], 'WOPR': [4, 1, 5, 5], 'Andy': [2, 6, 3, 2]}"
WOPR,5,4,"{'Allice': [3, 3, 5, 2], 'WOPR': [4, 1, 5, 5], 'Andy': [2, 6, 3, 2], 'Hal': [3, 3, 6]}"
Andy,2,5,"{'WOPR': [4, 1, 5, 5], 'Andy': [2, 6, 3, 2], 'Hal': [3, 3, 6], 'Allice': [3, 3, 5, 2]}"
Hal,3,5,"{'Andy': [2, 6, 3, 2], 'Hal': [3, 3, 6], 'Allice': [3, 3, 5, 2], 'WOPR': [4, 1, 5, 5]}"
Allice,3,6,"{'Hal': [3, 3, 6], 'Allice': [3, 3, 5, 2], 'WOPR': [4, 1, 5, 5], 'Andy': [2, 6, 3, 2]}"
WOPR,5,6,"{'Allice': [3, 3, 5, 2], 'WOPR': [4, 1, 5, 5], 'Andy': [2, 6, 3, 2], 'Hal': [3, 3, 6]}"
Andy,2,7,"{'Hal': [3, 3, 6], 'Allice': [3, 3, 5, 2], 'WOPR': [1, 5, 5], 'Andy': [2, 6, 3, 2]}"
Allice,2,1,"{'Hal': [2, 4, 6], 'Allice': [5, 2, 2, 2], 'WOPR': [5, 4, 2], 'Andy': [4, 5, 3, 4]}"
WOPR,5,1,"{'Allice': [5, 2, 2, 2], 'WOPR': [5, 4, 2], 'Andy': [4, 5, 3, 4], 'Hal': [2, 4, 6]}"
Andy,4,2,"{'WOPR': [5, 4, 2], 'Andy': [4, 5, 3, 4], 'Hal': [2, 4, 6], 'Allice': [5, 2, 2, 2]}"
Hal,6,2,"{'Andy': [4, 5, 3, 4], 'Hal': [2, 4, 6], 'Allice': [5, 2, 2, 2], 'WOPR': [5, 4, 2]}"
Allice,2,3,"{'Hal': [2, 4, 6], 'Allice': [5, 2, 2, 2], 'WOPR': [5, 4, 2], 'Andy': [4, 5, 3, 4]}"
WOPR,5,3,"{'Allice': [5, 2, 2, 2], 'WOPR': [5, 4, 2], 'Andy': [4, 5, 3, 4], 'Hal': [2, 4, 6]}"
Andy,4,4,"{'WOPR': [5, 4, 2], 'Andy': [4, 5, 3, 4], 'Hal': [2, 4, 6], 'Allice': [5, 2, 2, 2]}"
Hal,6,4,"{'Andy': [4, 5, 3, 4], 'Hal': [2, 4, 6], 'Allice': [5, 2, 2, 2], 'WOPR': [5, 4, 2]}"
Allice,2,5,"{'Hal': [2, 4, 6], 'Allice': [5, 2, 2, 2], 'WOPR': [5, 4, 2], 'Andy': [4, 5, 3, 4]}"
WOPR,5,5,"{'Allice': [5, 2, 2, 2], 'WOPR': [5, 4, 2], 'Andy': [4, 5, 3, 4], 'Hal': [2, 4, 6]}"
Andy,4,6,"{'WOPR': [5, 4, 2], 'Andy': [4, 5, 3, 4], 'Hal': [2, 4, 6], 'Allice': [5, 2, 2, 2]}"
Hal,6,6,"{'Allice': [5, 2, 2, 2], 'WOPR': [5, 4, 2], 'Andy': [5, 3, 4], 'Hal': [2, 4, 6]}"
WOPR,4,1,"{'Allice': [2, 3, 1, 6], 'WOPR': [3, 4, 1], 'Andy': [4, 1, 2], 'Hal': [6, 3, 3]}"
Andy,4,2,"{'WOPR': [3, 4, 1], 'Andy': [4, 1, 2], 'Hal': [6, 3, 3], 'Allice': [2, 3, 1, 6]}"
Hal,6,2,"{'Andy': [4, 1, 2], 'Hal': [6, 3, 3], 'Allice': [2, 3, 1, 6], 'WOPR': [3, 4, 1]}"
Allice,6,3,"{'Hal': [6, 3, 3], 'Allice': [2, 3, 1, 6], 'WOPR': [3, 4, 1], 'Andy': [4, 1, 2]}"
WOPR,4,4,"{'Allice': [2, 3, 1, 6], 'WOPR': [3, 4, 1], 'Andy': [4, 1, 2], 'Hal': [6, 3, 3]}"
Andy,4,5,"{'WOPR': [3, 4, 1], 'Andy': [4, 1, 2], 'Hal': [6, 3, 3], 'Allice': [2, 3, 1, 6]}"
Hal,3,6,"{'Andy': [4, 1, 2], 'Hal': [6, 3, 3], 'Allice': [2, 3, 1, 6], 'WOPR': [3, 4, 1]}"
Allice,6,6,"{'WOPR': [3, 4, 1], 'Andy': [4, 1, 2], 'Hal': [3, 3], 'Allice': [2, 3, 1, 6]}"
Andy,6,1,"{'WOPR': [1, 3, 6], 'Andy': [4, 6, 1], 'Hal': [4, 1], 'Allice': [3, 3, 2, 1]}"
Hal,4,2,"{'Andy': [4, 6, 1], 'Hal': [4, 1], 'Allice': [3, 3, 2, 1], 'WOPR': [1, 3, 6]}"
Allice,3,3,"{'Hal': [4, 1], 'Allice': [3, 3, 2, 1], 'WOPR': [1, 3, 6], 'Andy': [4, 6, 1]}"
WOPR,6,3,"{'Allice': [3, 3, 2, 1], 'WOPR': [1, 3, 6], 'Andy': [4, 6, 1], 'Hal': [4, 1]}"
Andy,6,4,"{'WOPR': [1, 3, 6], 'Andy': [4, 6, 1], 'Hal': [4, 1], 'Allice': [3, 3, 2, 1]}"
Hal,4,5,"{'Andy': [4, 6, 1], 'Hal': [4, 1], 'Allice': [3, 3, 2, 1], 'WOPR': [1, 3, 6]}"
Allice,3,6,"{'WOPR': [1, 3, 6], 'Andy': [4, 6, 1], 'Hal': [1], 'Allice': [3, 3, 2, 1]}"
Andy,5,1,"{'WOPR': [3, 3, 6], 'Andy': [5, 5, 2], 'Hal': [1], 'Allice': [5, 1, 6, 5]}"
Hal,1,2,"{'Andy': [5, 5, 2], 'Hal': [1], 'Allice': [5, 1, 6, 5], 'WOPR': [3, 3, 6]}"
Allice,5,2,"{'Hal': [1], 'Allice': [5, 1, 6, 5], 'WOPR': [3, 3, 6], 'Andy': [5, 5, 2]}"
WOPR,3,3,"{'Allice': [5, 1, 6, 5], 'WOPR': [3, 3, 6], 'Andy': [5, 5, 2], 'Hal': [1]}"
Andy,5,3,"{'WOPR': [3, 3, 6], 'Andy': [5, 5, 2], 'Hal': [1], 'Allice': [5, 1, 6, 5]}"
Hal,1,4,"{'Andy': [5, 5, 2], 'Hal': [1], 'Allice': [5, 1, 6, 5], 'WOPR': [3, 3, 6]}"
Allice,5,4,"{'Hal': [1], 'Allice': [5, 1, 6, 5], 'WOPR': [3, 3, 6], 'Andy': [5, 5, 2]}"
WOPR,3,5,"{'Allice': [5, 1, 6, 5], 'WOPR': [3, 3, 6], 'Andy': [5, 5, 2], 'Hal': [1]}"
Andy,5,5,"{'WOPR': [3, 3, 6], 'Andy': [5, 5, 2], 'Hal': [1], 'Allice': [5, 1, 6, 5]}"
Hal,1,6,"{'Allice': [5, 1, 6, 5], 'WOPR': [3, 3, 6], 'Andy': [5, 2], 'Hal': [1]}"
WOPR,6,1,"{'Allice': [6, 3, 3, 3], 'WOPR': [6, 1, 4], 'Andy': [2, 4], 'Hal': [5]}"
Andy,4,2,"{'WOPR': [6, 1, 4], 'Andy': [2, 4], 'Hal': [5], 'Allice': [6, 3, 3, 3]}"
Hal,5,2,"{'Andy': [2, 4], 'Hal': [5], 'Allice': [6, 3, 3, 3], 'WOPR': [6, 1, 4]}"
Allice,3,3,"{'Hal': [5], 'Allice': [6, 3, 3, 3], 'WOPR': [6, 1, 4], 'Andy': [2, 4]}"
WOPR,6,3,"{'Allice': [6, 3, 3, 3], 'WOPR': [6, 1, 4], 'Andy': [2, 4], 'Hal': [5]}"
Andy,4,4,"{'WOPR': [6, 1, 4], 'Andy': [2, 4], 'Hal': [5], 'Allice': [6, 3, 3, 3]}"
Hal,5,4,"{'Andy': [2, 4], 'Hal': [5], 'Allice': [6, 3, 3, 3], 'WOPR': [6, 1, 4]}"
Allice,3,5,"{'Hal': [5], 'Allice': [6, 3, 3, 3], 'WOPR': [6, 1, 4], 'Andy': [2, 4]}"
WOPR,6,5,"{'Andy': [2, 4], 'Hal': [5], 'Allice': [3, 3, 3], 'WOPR': [6, 1, 4]}"
Hal,2,1,"{'Andy': [2, 5], 'Hal': [2], 'Allice': [1, 2, 3], 'WOPR': [2, 4, 5]}"
Allice,3,1,"{'Hal': [2], 'Allice': [1, 2, 3], 'WOPR': [2, 4, 5], 'Andy': [2, 5]}"
WOPR,4,1,"{'Allice': [1, 2, 3], 'WOPR': [2, 4, 5], 'Andy': [2, 5], 'Hal': [2]}"
Andy,5,1,"{'WOPR': [2, 4, 5], 'Andy': [2, 5], 'Hal': [2], 'Allice': [1, 2, 3]}"
Hal,2,2,"{'Andy': [2, 5], 'Hal': [2], 'Allice': [1, 2, 3], 'WOPR': [2, 4, 5]}"
Allice,3,2,"{'Hal': [2], 'Allice': [1, 2, 3], 'WOPR': [2, 4, 5], 'Andy': [2, 5]}"
WOPR,5,2,"{'Allice': [1, 2, 3], 'WOPR': [2, 4, 5], 'Andy': [2, 5], 'Hal': [2]}"
Andy,5,3,"{'WOPR': [2, 4, 5], 'Andy': [2, 5], 'Hal': [2], 'Allice': [1, 2, 3]}"
Hal,2,4,"{'Andy': [2, 5], 'Hal': [2], 'Allice': [1, 2, 3], 'WOPR': [2, 4, 5]}"
Allice,3,4,"{'WOPR': [2, 4, 5], 'Andy': [2, 5], 'Hal': [2], 'Allice': [2, 3]}"
Andy,5,1,"{'WOPR': [3, 3, 1], 'Andy': [1, 5], 'Hal': [5], 'Allice': [2, 4]}"
Hal,5,2,"{'Andy': [1, 5], 'Hal': [5], 'Allice': [2, 4], 'WOPR': [3, 3, 1]}"
Allice,2,3,"{'Hal': [5], 'Allice': [2, 4], 'WOPR': [3, 3, 1], 'Andy': [1, 5]}"
WOPR,3,3,"{'Allice': [2, 4], 'WOPR': [3, 3, 1], 'Andy': [1, 5], 'Hal': [5]}"
Andy,5,3,"{'WOPR': [3, 3, 1], 'Andy': [1, 5], 'Hal': [5], 'Allice': [2, 4]}"
Hal,5,4,"{'Andy': [1, 5], 'Hal': [5], 'Allice': [2, 4], 'WOPR': [3, 3, 1]}"
Allice,2,5,"{'WOPR': [3, 3, 1], 'Andy': [1, 5], 'Hal': [], 'Allice': [2, 4]}"
Allice,2,1,"{'Allice': [1, 2], 'WOPR': [2, 1, 4], 'Andy': [1, 4]}"
WOPR,4,1,"{'WOPR': [2, 1, 4], 'Andy': [1, 4], 'Allice': [1, 2]}"
Andy,4,2,"{'Andy': [1, 4], 'Allice': [1, 2], 'WOPR': [2, 1, 4]}"
Allice,2,3,"{'Allice': [1, 2], 'WOPR': [2, 1, 4], 'Andy': [1, 4]}"
WOPR,4,3,"{'Allice': [2], 'WOPR': [2, 1, 4], 'Andy': [1, 4]}"
Andy,2,1,"{'Andy': [1, 2], 'Allice': [6], 'WOPR': [2, 5, 6]}"
Allice,6,1,"{'Allice': [6], 'WOPR': [2, 5, 6], 'Andy': [1, 2]}"
WOPR,2,2,"{'WOPR': [2, 5, 6], 'Andy': [1, 2], 'Allice': [6]}"
Andy,2,3,"{'WOPR': [2, 5, 6], 'Andy': [2], 'Allice': [6]}"
Allice,1,2,"{'Allice': [1], 'WOPR': [2, 4, 1], 'Andy': [1]}"
WOPR,1,2,"{'Allice': [1], 'WOPR': [4, 1], 'Andy': [1]}"
Andy,3,1,"{'Andy': [3], 'Allice': [2], 'WOPR': [6, 2]}"
Allice,2,2,"{'Allice': [2], 'WOPR': [6, 2], 'Andy': [3]}"
WOPR,1,3,"{'Allice': [2], 'WOPR': [2], 'Andy': [3]}"
Andy,4,1,"{'Andy': [4], 'Allice': [2], 'WOPR': [2]}"
Allice,1,2,"{'Andy': [4], 'Allice': [], 'WOPR': [2]}"
WOPR,2,1,"{'WOPR': [3], 'Andy': [2]}"
Andy,1,2,"{'WOPR': [3], 'Andy': []}"
Allice,6,1,"{'Hal': [4, 1, 1, 1], 'Allice': [5, 3, 6, 1], 'WOPR': [5, 4, 2, 5], 'Andy': [5, 2, 6, 4]}"
WOPR,5,2,"{'Allice': [5, 3, 6, 1], 'WOPR': [5, 4, 2, 5], 'Andy': [5, 2, 6, 4], 'Hal': [4, 1, 1, 1]}"
Andy,6,2,"{'WOPR': [5, 4, 2, 5], 'Andy': [5, 2, 6, 4], 'Hal': [4, 1, 1, 1], 'Allice': [5, 3, 6, 1]}"
Hal,1,3,"{'Andy': [5, 2, 6, 4], 'Hal': [4, 1, 1, 1], 'Allice': [5, 3, 6, 1], 'WOPR': [5, 4, 2, 5]}"
Allice,6,3,"{'Hal': [4, 1, 1, 1], 'Allice': [5, 3, 6, 1], 'WOPR': [5, 4, 2, 5], 'Andy': [5, 2, 6, 4]}"
WOPR,5,4,"{'Allice': [5, 3, 6, 1], 'WOPR': [5, 4, 2, 5], 'Andy': [5, 2, 6, 4], 'Hal': [4, 1, 1, 1]}"
Andy,6,4,"{'WOPR': [5, 4, 2, 5], 'Andy': [5, 2, 6, 4], 'Hal': [4, 1, 1, 1], 'Allice': [5, 3, 6, 1]}"
Hal,1,5,"{'Andy': [5, 2, 6, 4], 'Hal': [4, 1, 1, 1], 'Allice': [5, 3, 6, 1], 'WOPR': [5, 4, 2, 5]}"
Allice,6,5,"{'Hal': [4, 1, 1, 1], 'Allice': [5, 3, 6, 1], 'WOPR': [5, 4, 2, 5], 'Andy': [5, 2, 6, 4]}"
